id,numVuelo,paisOrigen,paisDestino ,fechaSalida,horaSalida ,fechaLlegada,horaLlegada,avionRef,vacantes
1,1,France,Philippines,16/8/1998,8:29,13/1/1981,9:22,048-50,30
2,2,Belarus,Egypt,13/11/2000,21:46,28/2/1986,6:45,500-31,04
3,3,China,Indonesia,16/1/2011,5:07,27/1/1971,5:40,956-11,01
4,4,Russia,Indonesia,3/11/1973,1:36,23/8/2014,9:48,623-09,99
5,5,Poland,Palestinian Territory,28/9/1974,8:10,4/1/1975,1:22,167-50,55
6,6,Thailand,Poland,27/9/1974,1:54,5/8/1972,16:07,150-73,80
7,7,Sweden,Indonesia,31/12/1982,14:26,28/6/2005,15:39,276-72,69
8,8,China,Indonesia,31/7/1993,5:19,8/2/1972,5:55,666-12,39
9,9,China,Indonesia,16/3/2007,2:00,24/4/2021,14:05,537-25,90
10,10,Philippines,Japan,31/5/2005,8:08,19/12/1974,13:36,803-94,88
11,11,Mexico,Finland,15/6/2003,22:47,10/5/1980,1:35,426-61,27
12,12,China,Portugal,18/3/1978,11:00,3/9/2001,0:01,195-14,68
13,13,China,Belarus,24/3/1985,14:59,5/5/2010,6:13,231-09,08
14,14,China,Poland,25/5/2016,0:00,13/6/1977,17:47,345-25,31
15,15,Nepal,China,15/12/1973,19:19,31/8/1979,5:50,000-35,08
16,16,Indonesia,China,8/9/1989,20:09,3/1/1984,4:05,587-61,52
17,17,China,China,24/8/1980,23:56,17/1/1978,13:11,945-55,53
18,18,Bulgaria,China,18/11/2003,16:04,19/9/1987,7:26,052-10,47
19,19,Sweden,China,9/1/1973,9:36,5/5/1999,5:50,562-17,56
20,20,Poland,China,24/2/2016,16:59,25/5/1974,9:37,144-09,57
21,21,Japan,Portugal,18/5/1976,0:40,26/7/1976,3:33,342-19,94
22,22,Morocco,Pakistan,15/1/1986,2:08,4/3/1973,1:29,588-35,75
23,23,China,Hungary,30/1/2010,19:35,21/5/2002,6:45,486-01,26
24,24,Isle of Man,Indonesia,20/1/2001,3:15,10/8/2018,15:48,335-99,57
25,25,Colombia,China,11/4/2017,21:22,11/2/1983,0:53,964-75,59
26,26,China,Russia,15/7/2003,8:56,8/5/1994,8:37,247-47,39
27,27,Guinea,China,19/8/2000,2:17,27/3/1997,19:17,606-30,08
28,28,Nigeria,Sweden,27/4/1975,7:42,16/1/1974,10:38,136-80,50
29,29,France,Iran,15/10/1972,4:17,13/8/2010,9:09,850-97,03
30,30,Malaysia,Syria,20/9/2000,2:13,2/7/2007,4:26,952-35,81
31,31,Thailand,Indonesia,23/5/2000,10:27,18/6/1987,15:52,456-46,94
32,32,Namibia,Indonesia,23/7/1983,8:15,11/5/1979,10:57,620-94,52
33,33,France,Macedonia,22/1/1987,2:39,4/5/2000,21:52,885-85,12
34,34,China,Brazil,5/10/2004,3:14,1/11/2004,15:24,996-02,44
35,35,Argentina,United States,12/11/1990,1:27,20/2/2000,1:33,653-24,32
36,36,Yemen,Ireland,11/12/1991,12:38,6/5/2005,7:26,430-37,85
37,37,Jamaica,China,2/11/2006,23:51,16/10/2018,14:58,497-52,92
38,38,Thailand,Portugal,21/2/1978,21:07,20/4/1997,11:38,386-46,36
39,39,Czech Republic,Sweden,23/4/1990,2:45,29/3/1976,5:22,552-37,50
40,40,Indonesia,China,9/8/2000,10:34,24/4/2002,14:58,836-44,40
41,41,Russia,Philippines,8/3/1984,9:20,14/6/2016,11:07,957-03,25
42,42,Russia,Indonesia,23/2/2021,2:31,30/6/1981,14:15,142-80,25
43,43,Russia,Indonesia,29/12/2006,1:38,22/7/2010,14:01,584-95,50
44,44,China,United States,1/4/2011,4:06,27/4/1983,23:54,200-69,98
45,45,Egypt,China,12/2/1994,20:24,10/12/2017,6:28,386-89,20
46,46,Indonesia,Mexico,17/6/1982,3:09,22/12/1977,9:43,976-60,72
47,47,Angola,Brazil,2/7/1978,3:00,3/12/2013,2:54,346-38,96
48,48,China,United States,24/9/1971,23:37,3/2/2009,5:51,265-54,21
49,49,Georgia,Sweden,13/4/2002,22:16,6/10/1993,15:28,669-55,56
50,50,Thailand,Russia,15/5/2020,2:46,16/1/1999,15:49,542-01,54
51,51,China,Guatemala,16/4/1997,17:52,24/10/1976,16:36,668-86,26
52,52,Indonesia,Indonesia,12/3/2002,7:25,20/4/2001,17:26,126-59,39
53,53,France,Russia,8/10/2007,15:48,4/5/1994,17:53,417-34,98
54,54,Portugal,China,19/7/1989,4:54,19/5/1980,4:03,940-44,15
55,55,China,Ethiopia,18/3/1981,4:29,10/7/2012,9:46,285-20,59
56,56,Indonesia,Canada,24/2/2021,3:55,28/6/2005,9:37,826-18,90
57,57,Czech Republic,Argentina,8/1/2008,11:28,10/6/1997,21:15,319-26,08
58,58,Thailand,Canada,3/2/2014,20:51,11/10/1976,21:37,205-14,34
59,59,China,Afghanistan,24/1/1984,17:51,30/8/1987,22:17,623-21,84
60,60,China,Indonesia,10/6/1994,3:04,28/11/2015,17:48,844-96,54
61,61,Libya,Nigeria,14/1/2015,17:29,3/2/1983,1:20,066-31,04
62,62,Chile,Sweden,26/1/1997,12:11,19/3/2007,3:42,997-88,51
63,63,Bosnia and Herzegovina,China,25/6/1977,12:10,3/10/2003,3:23,735-94,42
64,64,China,Japan,20/1/2017,4:48,19/1/1975,20:20,073-67,56
65,65,Sweden,Poland,19/1/2013,3:57,22/4/2016,19:01,891-60,40
66,66,Philippines,Russia,11/12/1979,9:20,19/4/1998,18:44,008-14,45
67,67,Brazil,Mexico,16/6/1992,14:45,10/8/2012,4:14,008-39,35
68,68,Russia,France,16/6/1982,18:46,29/8/1980,19:27,233-87,36
69,69,Japan,Netherlands,10/12/1970,4:09,18/11/2005,18:41,734-70,59
70,70,China,Argentina,2/4/2008,9:04,12/7/1998,20:53,712-78,60
71,71,Ukraine,Mexico,8/12/1977,5:03,20/3/1990,2:03,647-81,99
72,72,France,Indonesia,4/6/2009,7:43,30/12/2001,23:42,660-27,00
73,73,Ukraine,Czech Republic,20/4/2015,20:31,15/3/1976,0:50,754-91,48
74,74,Philippines,Colombia,20/9/1976,11:48,26/5/1982,12:32,604-48,55
75,75,Russia,East Timor,27/1/2015,12:59,13/5/1984,15:57,267-19,76
76,76,France,Indonesia,7/11/2013,12:41,9/9/2009,1:40,925-77,20
77,77,Colombia,Indonesia,10/4/1979,13:03,20/12/1994,15:39,592-77,63
78,78,Japan,Argentina,30/10/1990,1:41,10/12/2017,23:40,112-42,62
79,79,France,Russia,16/6/2021,19:49,7/10/1981,9:35,204-29,58
80,80,Indonesia,Sweden,6/2/2019,0:28,30/1/1976,3:49,476-81,31
